id,title,budget,release_date,revenue,runtime,status
1,#Horror,1500000,2015-11-20,,90,Released
2,(500) Days of Summer,7500000,2009-07-17,60722734,95,Released
3,.45,5000000,2006-11-30,,101,Released
4,1. Mai – Helden bei der Arbeit,200000,2008-02-08,,90,Released
5,10 Cloverfield Lane,15000000,2016-03-10,108286421,103,Released
6,10 Days in a Madhouse,1200000,2015-11-20,,111,Released
7,10 Things I Hate About You,16000000,1999-03-30,53478166,97,Released
8,10 to Midnight,4520000,1983-03-11,7175592,101,Released
9,"10,000 BC",105000000,2008-02-22,266000000,109,Released
10,10.5,20000000,2004-05-02,,165,Released
11,100 Days with Mr. Arrogant,3200000,2004-01-16,,95,Released
12,100 Degrees Below Zero,500000,2013-03-29,,88,Released
13,100 Feet,10000000,2008-07-22,,105,Released
14,100 Ghost Street: The Return of Richard Speck,150,2012-07-24,,84,Released
15,100 Yen: The Japanese Arcade Experience,32213,2012-08-30,,68,Released
16,100% Love,1500000,2011-05-06,,140,Released
17,101 Dalmatians,54000000,1996-11-17,320689294,103,Released
18,102 Dalmatians,85000000,2000-10-07,183611771,100,Released
19,10th & Wolf,8000000,2006-02-19,143451,107,Released
20,11 Minutes,2023012,2015-09-02,,81,Released
21,11.22.63,30000000,2016-02-15,,432,Released
22,11:14,6000000,2003-05-16,,86,Released
23,12,4000000,2007-06-06,7537453,159,Released
24,12 Angry Men,350000,1957-03-25,1000000,96,Released
25,12 Paces without a Head,8500000,2009-12-10,,108,Released
26,12 Rounds,20000000,2009-03-19,17280326,108,Released
27,12 Rounds 2: Reloaded,4000000,2013-06-01,,95,Released
28,12 Years a Slave,20000000,2013-10-18,187000000,134,Released
29,127 Hours,18000000,2010-11-05,35692920,94,Released
30,13 Assassins,6000000,2010-09-09,17555141,141,Released
31,13 Going on 30,37000000,2004-04-13,96455697,98,Released
32,13 Hours: The Secret Soldiers of Benghazi,50000000,2016-01-13,69411370,144,Released
33,13 Sins,5000000,2014-04-18,13809,93,Released
34,14 Blades,20000000,2010-02-04,,114,Released
35,1408,25000000,2007-07-12,94679598,104,Released
36,1492: Conquest of Paradise,47000000,1992-10-09,7191399,154,Released
37,15 Minutes,60000000,2001-03-01,56359980,120,Released
38,16 Blocks,55000000,2006-03-01,65664721,105,Released
39,1612: Chronicles of the Dark Time,12000000,2007-10-28,,135,Released
40,17 Again,20000000,2009-03-11,136267476,102,Released
41,17 Girls,4141459,2011-06-13,201607,87,Released
42,1900,9000000,1976-09-03,,317,Released
43,1911,30000000,2011-07-03,108348,125,Released
44,1941,35000000,1979-12-13,31755742,113,Released
45,1944,2000000,2015-02-20,,100,Released
46,1987,4000000,2014-08-06,,0,Post Production
47,1½ Knights - In Search of the Ravishing Princess Herzelinde,67000000,2008-12-17,,116,Released
48,2 Days in New York,8000000,2012-03-28,1653792,91,Released
49,2 Fast 2 Furious,76000000,2003-06-05,236350661,107,Released
50,2 Guns,61000000,2013-08-02,131940411,109,Released
51,20 Feet from Stardom,1000000,2013-06-14,,89,Released
52,20 Years After,1000000,2008-01-01,,95,Released
53,"20,000 Leagues Under the Sea",5000000,1954-12-23,28200000,127,Released
